종목명,종목코드,기사날짜,기사제목,기사링크,긍정확률,부정확률,대상기업,산업분류,분석일시,감성분류
휴맥스,115160,2024-12-31,"전자제품 상장기업 2024년 12월 브랜드평판... 1위 LG전자, 2위 아남전자...",https://www.thefairnews.co.kr/news/articleView.html?idxno=38733,0.3578,0.6422,휴맥스,일반,2025-09-20 16:15:51,부정
휴림로봇,090710,2024-12-31,"로봇 상장기업 2024년 12월 브랜드평판... 1위 두산, 2위 신성델타테크,...",https://www.thefairnews.co.kr/news/articleView.html?idxno=38734,0.3578,0.6422,휴림로봇,일반,2025-09-20 16:15:51,부정
아이앤씨,052860,2024-12-31,"신세계아이앤씨, ‘스파로스 CMP’ 국가정보원 주관 보안기능 확인서 획...",https://www.healthinnews.co.kr/view.php?ud=2024123114151515c2fe677a63_48,0.628,0.372,아이앤씨,일반,2025-09-20 16:15:13,긍정
아이앤씨,052860,2024-12-31,"신세계아이앤씨, 국정원 보안기능 확인서 획득",https://n.news.naver.com/mnews/article/016/0002409663?sid=105,0.4751,0.5249,아이앤씨,일반,2025-09-20 16:10:23,부정
아이앤씨,052860,2024-12-31,"신세계아이앤씨, '스파로스 CMP' 국가정보원 주관 보안기능 확인서 획득",http://www.itdaily.kr/news/articleView.html?idxno=230102,0.7428,0.2572,아이앤씨,일반,2025-09-20 16:07:03,긍정
아이앤씨,052860,2024-12-31,신세계아이앤씨 '스파로스 CMP' 국정원 보안기능 확인서 획득,https://www.techm.kr/news/articleView.html?idxno=134022,0.351,0.649,아이앤씨,일반,2025-09-20 16:15:49,부정
아이앤씨,052860,2024-12-31,신세계아이앤씨 ‘스파로스 CMP’ 국정원 보안기능 확인서 획득,https://n.news.naver.com/mnews/article/016/0002409460?sid=105,0.5867,0.4133,아이앤씨,일반,2025-09-20 16:10:23,긍정
아이앤씨,052860,2024-12-31,"신세계아이앤씨, '스파로스 CMP' 국가정보원 보안기능 확인서 획득",http://www.it-b.co.kr/news/articleView.html?idxno=79640,0.3578,0.6422,아이앤씨,일반,2025-09-20 16:06:47,부정
아이티센엔텍,010280,2024-12-31,[기획특집] 새 먹거리로 '생성형 AI' 낙점…대외사업 확대하는 중견 SI ...,http://www.itdaily.kr/news/articleView.html?idxno=230092,0.7428,0.2572,아이티센엔텍,일반,2025-09-20 16:07:03,긍정
탈로스,434190,2024-12-31,발견 35년된 악성코드... 앞으로 피해 급증 경고,https://n.news.naver.com/mnews/article/014/0005289348?sid=101,0.2388,0.7612,탈로스,일반,2025-09-20 16:10:03,부정
버넥트,438700,2024-12-31,"버넥트, 스탠다드에너지 등 KAIST 창업기업 다수 'CES 2025 혁신상' 수상",https://n.news.naver.com/mnews/article/030/0003272212?sid=105,0.5626,0.4374,버넥트,일반,2025-09-20 16:12:02,긍정
틸론,217880,2024-12-31,"틸론, LG CNS와 전략적 파트너십…VDI 솔루션 공동 사업 전개",http://www.itdaily.kr/news/articleView.html?idxno=230112,0.7428,0.2572,틸론,일반,2025-09-20 16:07:03,긍정
에이직랜드,445090,2024-12-31,"[여의도 클라쓰] '아이엠비디엑스, 삼현, 에이직랜드' 클라쓰 올릴 종목...",https://news.mtn.co.kr/news-detail/2024123103593512854,0.5583,0.4417,에이직랜드,일반,2025-09-20 16:14:25,긍정
신테카바이오,226330,2024-12-30,"신테카바이오, '냉각구조 특허' 출원…""AI 전력난 해결""",https://n.news.naver.com/mnews/article/003/0012988975?sid=102,0.4339,0.5661,신테카바이오,일반,2025-09-20 16:08:54,부정
신테카바이오,226330,2024-12-30,"신테카바이오, 흰개미집 구조 활용 세계 최초 데이터센터 냉각 특허 출...",https://www.healthinnews.co.kr/view.php?ud=202412301138345620205868f676_48,0.628,0.372,신테카바이오,일반,2025-09-20 16:15:13,긍정
신테카바이오,226330,2024-12-30,"[이 특징주 버핏이라면] 신테카바이오, 'AI 데이터센터발 전력난 해결책...",https://www.news2day.co.kr/article/20241230500089,0.5,0.5,신테카바이오,일반,2025-09-20 16:15:21,부정
신테카바이오,226330,2024-12-30,"[특징주] 신테카바이오 주가 급등, 자연대류 냉각 특허로 데이터센터 혁...",https://www.widedaily.com/news/articleView.html?idxno=255246,0.6478,0.3522,신테카바이오,일반,2025-09-20 16:16:05,긍정
신테카바이오,226330,2024-12-30,"[바이오 +]신테카바이오, 세계 최초 AI 데이터센터 '냉각구조 특허' 출원...",https://www.pharmnews.com/news/articleView.html?idxno=256327,0.3577,0.6423,신테카바이오,일반,2025-09-20 16:15:30,부정
신테카바이오,226330,2024-12-30,"신테카바이오, AI 데이터센터발 전력난 해결할 세계 최초 '냉각구조 특...",https://n.news.naver.com/mnews/article/008/0005134645?sid=101,0.4067,0.5933,신테카바이오,일반,2025-09-20 16:09:21,부정
신테카바이오,226330,2024-12-30,"신테카바이오, 세계 최초 '자연대류 구조물 특허' 출원",https://www.newspim.com/news/view/20241230000086,0.6478,0.3522,신테카바이오,일반,2025-09-20 16:15:23,긍정
신테카바이오,226330,2024-12-30,"신테카바이오, '냉각구조 특허' 출원...AI 데이터센터 전력난 해결",https://www.pinpointnews.co.kr/news/articleView.html?idxno=309814,0.5954,0.4046,신테카바이오,일반,2025-09-20 16:15:33,긍정
우리넷,115440,2024-12-30,[주식 초고수는 지금]흑자전환에 AI 인프라 구축 기대감도…우리넷 순매...,https://n.news.naver.com/mnews/article/011/0004433736?sid=101,0.6953,0.3047,우리넷,일반,2025-09-20 16:09:43,긍정
SGA,049470,2024-12-30,"SGA솔루션즈 ""내년 사이버 보안, 이것 조심해야""",https://www.newstof.com/news/articleView.html?idxno=25701,0.506,0.494,SGA,일반,2025-09-20 16:15:24,긍정
SGA,049470,2024-12-30,"""AI, 공급망, 클라우드, 모두 의심하라""…SGA솔루션즈, 2025년 사이버 보...",http://www.itdaily.kr/news/articleView.html?idxno=230069,0.7428,0.2572,SGA,일반,2025-09-20 16:07:03,긍정
SGA,049470,2024-12-30,"SGA솔루션즈, 2025년 사이버 보안 전망 발표",http://www.srtimes.kr/news/articleView.html?idxno=169061,0.6478,0.3522,SGA,일반,2025-09-20 16:07:38,긍정
아스타,246720,2024-12-30,"농심, 아스타와 생성 AI 기반 PoC 프로젝트 진행...디지털 혁신 신호탄",https://www.aitimes.kr/news/articleView.html?idxno=33411,0.506,0.494,아스타,일반,2025-09-20 16:14:39,긍정
SKAI,357880,2024-12-30,"AI기본법 통과에 스카이월드와이드 등 주목…""고품질 영상 제작""",https://n.news.naver.com/mnews/article/421/0007994279?sid=101,0.5529,0.4471,SKAI,일반,2025-09-20 16:14:08,긍정
유라클,088340,2024-12-30,"권태일 유라클 대표, 사장 승진...2025년 임원인사",https://n.news.naver.com/mnews/article/029/0002926186?sid=105,0.506,0.494,유라클,일반,2025-09-20 16:11:22,긍정
유라클,088340,2024-12-30,"유라클, 2025년 정기 조직 개편‧임원 인사...AI·클라우드 사업 집중",https://www.digitaltoday.co.kr/news/articleView.html?idxno=547729,0.5731,0.4269,유라클,일반,2025-09-20 16:15:09,긍정
유라클,088340,2024-12-30,"유라클, 정기 임원인사 단행…권태일 대표 사장 승진",https://n.news.naver.com/mnews/article/138/0002188675?sid=105,0.506,0.494,유라클,일반,2025-09-20 16:13:14,긍정
유라클,088340,2024-12-30,"유라클, 권태일 대표 사장 승진...2025년 조직 개편·임원 인사",https://n.news.naver.com/mnews/article/030/0003272081?sid=105,0.506,0.494,유라클,일반,2025-09-20 16:12:02,긍정
유라클,088340,2024-12-30,"[인사] 유라클, 2025년 정기 조직개편·임원인사 단행",http://www.itdaily.kr/news/articleView.html?idxno=230081,0.7428,0.2572,유라클,일반,2025-09-20 16:07:03,긍정
베노티앤알,206400,2024-12-30,개막 앞둔 'CES 2025' 빛낼 한국기업은? 폴라리스오피스 등 AI혁신 테마주...,https://www.ajunews.com/view/20241230160153181,0.4206,0.5794,베노티앤알,일반,2025-09-20 16:14:47,부정
삼성에스디에스,018260,2024-12-30,"삼성에스디에스, 클라우드 고성장·IT서비스 부진-iM",https://n.news.naver.com/mnews/article/018/0005915243?sid=101,0.7525,0.2475,삼성에스디에스,일반,2025-09-20 16:11:00,긍정
소니드,060230,2024-12-30,"소니드·소니드에이아이, 우크라 재건 겨냥 AI 전방 경계시스템 개발",https://n.news.naver.com/mnews/article/008/0005134853?sid=101,0.4486,0.5514,소니드,일반,2025-09-20 16:09:21,부정
코어라인소프트,384470,2024-12-29,"코어라인소프트 ""AI 솔루션 `에이뷰` 활용 연구 출판물 296건 달해""",https://n.news.naver.com/mnews/article/029/0002925754?sid=105,0.3681,0.6319,코어라인소프트,일반,2025-09-20 16:11:22,부정
아이지넷,462980,2024-12-29,"아이지넷, 기업가치 1276억 제시…""3년 뒤 매출 5.9배""",https://n.news.naver.com/mnews/article/293/0000062119?sid=101,0.5677,0.4323,아이지넷,일반,2025-09-20 16:13:46,긍정
사이냅소프트,466410,2024-12-29,"사이냅소프트, AI 문서 분석 솔루션 `사이냅 도큐애널라이저` 고도화",https://n.news.naver.com/mnews/article/029/0002925735?sid=105,0.4075,0.5925,사이냅소프트,일반,2025-09-20 16:11:22,부정
싸이버원,356890,2024-12-28,"솔트웨어, 클라우드 MSP 넘어 프라이빗 LLM 개발 본격화",https://www.pinpointnews.co.kr/news/articleView.html?idxno=309560,0.5954,0.4046,싸이버원,일반,2025-09-20 16:15:33,긍정
코어라인소프트,384470,2024-12-28,코어라인소프트 AI 의료영상 연구- 'AVIEW 제품 라인'으로 입증된 전문성,https://www.koreaittimes.com/news/articleView.html?idxno=137351,0.4212,0.5788,코어라인소프트,일반,2025-09-20 16:15:20,부정
씨어스테크놀로지,458870,2024-12-27,"[클릭 e종목]“씨어스테크놀로지, 웨어러블 AI로 의료 시장 혁신”",https://n.news.naver.com/mnews/article/277/0005523941?sid=101,0.5956,0.4044,씨어스테크놀로지,일반,2025-09-20 16:13:43,긍정
